Date,volume,opens,close
"Dec 05, 2019","18,816,085,231","7,253.24","7,448.31"
"Dec 04, 2019","21,664,240,918","7,320.13","7,252.03"
"Dec 03, 2019","14,797,485,769","7,323.98","7,320.15"
"Dec 02, 2019","17,082,040,706","7,424.04","7,321.99"
"Dec 01, 2019","18,720,708,479","7,571.62","7,424.29"
"Nov 30, 2019","17,158,194,786","7,764.06","7,569.63"
"Nov 29, 2019","19,709,695,456","7,466.73","7,761.24"
"Nov 28, 2019","19,050,116,751","7,536.82","7,463.11"
"Nov 27, 2019","23,991,412,764","7,220.88","7,531.66"
"Nov 26, 2019","21,129,505,542","7,145.16","7,218.37"
"Nov 25, 2019","42,685,231,262","7,039.98","7,146.13"
"Nov 24, 2019","30,433,517,289","7,398.63","7,047.92"
"Nov 23, 2019","21,008,924,418","7,296.16","7,397.80"
"Nov 22, 2019","34,242,315,785","7,643.57","7,296.58"
"Nov 21, 2019","22,514,243,371","8,023.64","7,642.75"
"Nov 20, 2019","20,764,300,437","8,203.61","8,027.27"
"Nov 19, 2019","21,083,613,816","8,305.13","8,206.15"
"Nov 18, 2019","21,579,470,673","8,573.98","8,309.29"
"Nov 17, 2019","18,668,638,897","8,549.47","8,577.98"
"Nov 16, 2019","16,495,389,808","8,491.17","8,550.76"
"Nov 15, 2019","21,796,856,471","8,705.71","8,491.99"
"Nov 14, 2019","19,084,739,975","8,811.94","8,708.10"
"Nov 13, 2019","17,545,755,405","8,812.03","8,808.26"
"Nov 12, 2019","20,309,769,107","8,759.75","8,815.66"
"Nov 11, 2019","20,265,510,765","9,056.92","8,757.79"
"Nov 10, 2019","20,587,919,881","8,812.49","9,055.53"
"Nov 09, 2019","17,578,630,606","8,809.47","8,813.58"
"Nov 08, 2019","24,333,037,836","9,265.37","8,804.88"
"Nov 07, 2019","22,700,383,839","9,352.39","9,267.56"
"Nov 06, 2019","23,133,895,765","9,340.86","9,360.88"
"Nov 05, 2019","26,198,609,048","9,413.00","9,342.53"
"Nov 04, 2019","26,170,255,634","9,235.61","9,412.61"
"Nov 03, 2019","21,132,220,847","9,324.79","9,235.35"
"Nov 02, 2019","21,242,676,385","9,259.78","9,324.72"
"Nov 01, 2019","24,324,691,031","9,193.99","9,261.10"
"Oct 31, 2019","26,583,653,947","9,202.46","9,199.58"
"Oct 30, 2019","27,706,531,577","9,422.46","9,205.73"
"Oct 29, 2019","28,426,779,937","9,248.44","9,427.69"
"Oct 28, 2019","30,948,255,332","9,565.10","9,256.15"
"Oct 27, 2019","32,593,129,501","9,241.71","9,551.71"
"Oct 26, 2019","44,496,255,609","8,667.58","9,244.97"
"Oct 25, 2019","28,705,065,488","7,490.70","8,660.70"
"Oct 24, 2019","16,268,708,849","7,509.73","7,493.49"
"Oct 23, 2019","21,942,878,958","8,076.23","7,514.67"
"Oct 22, 2019","16,803,377,857","8,243.40","8,078.20"
"Oct 21, 2019","15,868,748,866","8,225.12","8,243.72"
"Oct 20, 2019","15,504,249,442","7,997.81","8,222.08"
"Oct 19, 2019","13,797,825,640","7,973.80","7,988.56"
"Oct 18, 2019","15,651,592,610","8,100.93","7,973.21"
"Oct 17, 2019","14,313,052,244","8,047.81","8,103.91"
"Oct 16, 2019","16,071,646,996","8,204.67","8,047.53"
"Oct 15, 2019","15,220,412,632","8,373.46","8,205.37"
"Oct 14, 2019","15,151,387,859","8,320.83","8,374.69"
"Oct 13, 2019","13,808,286,059","8,336.90","8,321.01"
"Oct 12, 2019","14,532,641,605","8,315.66","8,336.56"
"Oct 11, 2019","19,604,381,101","8,585.26","8,321.76"
"Oct 10, 2019","17,618,660,671","8,585.28","8,586.47"
"Oct 09, 2019","19,384,942,333","8,229.84","8,595.74"
"Oct 08, 2019","15,592,264,032","8,246.85","8,228.78"
"Oct 07, 2019","18,009,742,607","7,989.12","8,245.62"
"Oct 06, 2019","13,160,830,305","8,149.88","7,988.16"
"Oct 05, 2019","12,200,497,197","8,210.15","8,151.50"
"Oct 04, 2019","13,139,456,229","8,259.49","8,205.94"
"Oct 03, 2019","13,668,823,409","8,390.77","8,259.99"
"Oct 02, 2019","13,125,712,443","8,344.21","8,393.04"
"Oct 01, 2019","15,305,343,413","8,299.72","8,343.28"
"Sep 30, 2019","17,115,474,183","8,104.23","8,293.87"
"Sep 29, 2019","13,034,629,109","8,246.04","8,104.19"
"Sep 28, 2019","14,141,152,736","8,251.27","8,245.92"
"Sep 27, 2019","16,408,941,156","8,113.10","8,251.85"
"Sep 26, 2019","19,258,205,289","8,487.67","8,118.97"
"Sep 25, 2019","21,744,728,353","8,603.43","8,486.99"
"Sep 24, 2019","25,002,886,689","9,729.32","8,620.57"
"Sep 23, 2019","15,144,925,408","10,067.96","9,729.32"
"Sep 22, 2019","13,199,651,698","10,024.12","10,070.39"
"Sep 21, 2019","13,425,266,806","10,183.65","10,019.72"
"Sep 20, 2019","14,734,189,639","10,266.32","10,181.64"
"Sep 19, 2019","19,937,691,247","10,200.50","10,266.41"
"Sep 18, 2019","16,169,268,880","10,247.80","10,198.25"
"Sep 17, 2019","15,304,603,363","10,281.51","10,241.27"
"Sep 16, 2019","15,160,167,779","10,347.22","10,276.79"
"Sep 15, 2019","12,043,433,567","10,356.47","10,347.71"
"Sep 14, 2019","13,468,713,124","10,345.40","10,358.05"
"Sep 13, 2019","14,109,864,675","10,415.36","10,360.55"
"Sep 12, 2019","15,323,563,925","10,176.82","10,410.13"
"Sep 11, 2019","15,428,063,426","10,123.03","10,178.37"
"Sep 10, 2019","14,906,809,639","10,336.41","10,115.98"
"Sep 09, 2019","17,595,943,368","10,443.23","10,334.97"
"Sep 08, 2019","13,670,567,493","10,518.11","10,441.28"
"Sep 07, 2019","15,307,366,476","10,353.93","10,517.25"
"Sep 06, 2019","19,536,574,783","10,578.20","10,353.30"
"Sep 05, 2019","14,551,239,508","10,588.18","10,575.53"
"Sep 04, 2019","16,742,664,769","10,621.18","10,594.49"
"Sep 03, 2019","19,384,917,989","10,345.73","10,623.54"
"Sep 02, 2019","17,248,102,294","9,757.47","10,346.76"
"Sep 01, 2019","11,445,355,859","9,630.59","9,757.97"
"Aug 31, 2019","11,454,806,419","9,597.54","9,630.66"
"Aug 30, 2019","13,595,263,986","9,514.84","9,598.17"
"Aug 29, 2019","17,045,878,501","9,756.79","9,510.20"
"Aug 28, 2019","17,603,790,323","10,203.43","9,754.42"
"Aug 27, 2019","14,762,609,503","10,372.83","10,185.50"
"Aug 26, 2019","18,438,654,080","10,126.30","10,370.82"
"Aug 25, 2019","14,153,856,610","10,160.74","10,138.52"
"Aug 24, 2019","15,451,030,650","10,407.64","10,159.96"
"Aug 23, 2019","15,627,023,886","10,136.31","10,407.97"
"Aug 22, 2019","17,097,508,856","10,142.52","10,131.06"
"Aug 21, 2019","19,473,084,768","10,764.57","10,138.05"
"Aug 20, 2019","15,053,082,175","10,916.35","10,763.23"
"Aug 19, 2019","16,038,264,603","10,350.28","10,916.05"
"Aug 18, 2019","12,999,813,869","10,233.01","10,345.81"
"Aug 17, 2019","13,778,035,685","10,358.72","10,231.74"
"Aug 16, 2019","20,228,207,096","10,319.42","10,374.34"
"Aug 15, 2019","22,899,115,082","10,038.42","10,311.55"
"Aug 14, 2019","19,990,838,300","10,889.49","10,051.70"
"Aug 13, 2019","16,681,503,537","11,385.05","10,895.83"
"Aug 12, 2019","13,647,198,229","11,528.19","11,382.62"
"Aug 11, 2019","15,774,371,518","11,349.74","11,523.58"
"Aug 10, 2019","18,125,355,447","11,861.56","11,354.02"
"Aug 09, 2019","18,339,989,960","11,953.47","11,862.94"
